id,parent_id,language,segment_audio,full_audio,lyrics_file,features,youtube,title,artist
english_0002_seg4,english_0002,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0002_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0002.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0002.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0002_seg4.npy,ytsearch1:Cruel Summer - Taylor Swift Official Audio,Cruel Summer - Taylor Swift,Taylor Swift
english_0003_seg0,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg0.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg1,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg1.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg2,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg2.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg3,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg3.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg4,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg4.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg5,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg5.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg6,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg6.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg6.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg7,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg7.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg7.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0003_seg8,english_0003,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0003_seg8.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0003.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0003.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0003_seg8.npy,ytsearch1:Blank Space - Taylor Swift Official Audio,Blank Space - Taylor Swift,Taylor Swift
english_0004_seg0,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg0.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg1,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg1.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg2,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg2.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg3,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg3.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg4,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg4.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg5,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg5.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0004_seg6,english_0004,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0004_seg6.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0004.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0004.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0004_seg6.npy,ytsearch1:Shake It Off - Taylor Swift Official Audio,Shake It Off - Taylor Swift,Taylor Swift
english_0005_seg0,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg0.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg1,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg1.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg2,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg2.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg3,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg3.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg4,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg4.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg5,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg5.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg6,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg6.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg6.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0005_seg7,english_0005,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0005_seg7.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0005.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0005.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0005_seg7.npy,ytsearch1:Love Story - Taylor Swift Official Audio,Love Story - Taylor Swift,Taylor Swift
english_0006_seg0,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg0.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg1,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg1.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg2,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg2.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg3,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg3.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg4,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg4.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg5,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg5.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0006_seg6,english_0006,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0006_seg6.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0006.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0006.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0006_seg6.npy,ytsearch1:You Belong With Me - Taylor Swift Official Audio,You Belong With Me - Taylor Swift,Taylor Swift
english_0007_seg0,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg0.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg1,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg1.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg2,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg2.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg3,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg3.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg4,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg4.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg5,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg5.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg5.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0007_seg6,english_0007,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0007_seg6.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0007.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0007.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0007_seg6.npy,ytsearch1:Fortnight - Taylor Swift Official Audio,Fortnight - Taylor Swift,Taylor Swift
english_0008_seg0,english_0008,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0008_seg0.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0008.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0008.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0008_seg0.npy,ytsearch1:Karma - Taylor Swift Official Audio,Karma - Taylor Swift,Taylor Swift
english_0008_seg1,english_0008,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0008_seg1.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0008.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0008.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0008_seg1.npy,ytsearch1:Karma - Taylor Swift Official Audio,Karma - Taylor Swift,Taylor Swift
english_0008_seg2,english_0008,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0008_seg2.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0008.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0008.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0008_seg2.npy,ytsearch1:Karma - Taylor Swift Official Audio,Karma - Taylor Swift,Taylor Swift
english_0008_seg3,english_0008,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0008_seg3.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0008.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0008.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0008_seg3.npy,ytsearch1:Karma - Taylor Swift Official Audio,Karma - Taylor Swift,Taylor Swift
english_0008_seg4,english_0008,english,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\segments\english_0008_seg4.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\audio\english_0008.wav,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\lyrics\english_0008.txt,C:\Users\tahmi\OneDrive\Desktop\song_dataset_project\data\english\features\english_0008_seg4.npy,ytsearch1:Karma - Taylor Swift Official Audio,Karma - Taylor Swift,Taylor Swift
